velocity,muon_index,detected_x_position,detected_y_position,detected_z_position,event_time,Outcome,Energy/GeV
[ 0.15540445  0.36758126 -0.91021704],0,1,23,-0.006,200.0,Y,0.9554600160016001
[ 0.15540445  0.36758126 -0.91021704],0,1,24,-0.018,200.0439759854725,Y,0.9554600160016001
[ 0.15540445  0.36758126 -0.91021704],0,2,24,-0.03,200.08795197094506,Y,0.9554600160016001
[ 0.15540445  0.36758126 -0.91021704],0,-1,-1,-0.618,202.24277525909878,Missed RPC 4,0.9554600160016001
[ 0.15540445  0.36758126 -0.91021704],0,-1,-1,-1.218,204.441574532725,Missed RPC 5,0.9554600160016001
[ 0.15540445  0.36758126 -0.91021704],0,-1,-1,-1.23,204.48555051819756,Missed RPC 6,0.9554600160016001
[-0.1999581  -0.73634408 -0.64494998],1,52,3,-0.006,200.0,Y,2.4550314731473146
[-0.1999581  -0.73634408 -0.64494998],1,52,3,-0.018,200.06206324978385,N,2.4550314731473146
[-0.1999581  -0.73634408 -0.64494998],1,52,2,-0.03,200.12412649956772,Y,2.4550314731473146
[-0.1999581  -0.73634408 -0.64494998],1,-1,-1,-0.618,203.16522573897683,Missed RPC 4,2.4550314731473146
[-0.1999581  -0.73634408 -0.64494998],1,-1,-1,-1.218,206.2683882281698,Missed RPC 5,2.4550314731473146
[-0.1999581  -0.73634408 -0.64494998],1,-1,-1,-1.23,206.33045147795366,Missed RPC 6,2.4550314731473146
[-0.07482647 -0.33201288 -0.8264389 ],2,38,8,-0.006,200.0,Y,0.23566571657165716
[-0.07482647 -0.33201288 -0.8264389 ],2,38,8,-0.018,200.0484339391706,Y,0.23566571657165716
[-0.07482647 -0.33201288 -0.8264389 ],2,38,8,-0.03,200.0968678783412,Y,0.23566571657165716
[-0.07482647 -0.33201288 -0.8264389 ],2,36,0,-0.618,202.47013089770022,Y,0.23566571657165716
[-0.07482647 -0.33201288 -0.8264389 ],2,-1,-1,-1.218,204.89182785622984,Missed RPC 5,0.23566571657165716
[-0.07482647 -0.33201288 -0.8264389 ],2,-1,-1,-1.23,204.94026179540043,Missed RPC 6,0.23566571657165716
[-0.27800135 -0.60977277 -0.74207821],3,6,10,-0.006,200.0,Y,7.253660136013602
[-0.27800135 -0.60977277 -0.74207821],3,6,10,-0.018,200.0539399902241,Y,7.253660136013602
[-0.27800135 -0.60977277 -0.74207821],3,6,10,-0.03,200.10787998044825,Y,7.253660136013602
[-0.27800135 -0.60977277 -0.74207821],3,-1,-1,-0.618,202.75093950142994,Missed RPC 4,7.253660136013602
[-0.27800135 -0.60977277 -0.74207821],3,-1,-1,-1.218,205.44793901263574,Missed RPC 5,7.253660136013602
[-0.27800135 -0.60977277 -0.74207821],3,-1,-1,-1.23,205.50187900285988,Missed RPC 6,7.253660136013602
[ 0.1167136  -0.33846933 -0.92510063],4,2,0,-0.006,200.0,Y,0.835494299429943
[ 0.1167136  -0.33846933 -0.92510063],4,2,0,-0.018,200.04326847279427,N,0.835494299429943
[ 0.1167136  -0.33846933 -0.92510063],4,2,0,-0.03,200.08653694558853,Y,0.835494299429943
[ 0.1167136  -0.33846933 -0.92510063],4,-1,-1,-0.618,202.20669211250797,Missed RPC 4,0.835494299429943
[ 0.1167136  -0.33846933 -0.92510063],4,-1,-1,-1.218,204.37011575222166,Missed RPC 5,0.835494299429943
[ 0.1167136  -0.33846933 -0.92510063],4,-1,-1,-1.23,204.41338422501596,Missed RPC 6,0.835494299429943
[-0.64006147 -0.18171169 -0.74642349],5,23,28,-0.006,200.0,Y,8.513300160016001
[-0.64006147 -0.18171169 -0.74642349],5,23,28,-0.018,200.0536259806428,Y,8.513300160016001
[-0.64006147 -0.18171169 -0.74642349],5,23,27,-0.03,200.10725196128558,Y,8.513300160016001
[-0.64006147 -0.18171169 -0.74642349],5,4,23,-0.618,202.73492501278255,Y,8.513300160016001
[-0.64006147 -0.18171169 -0.74642349],5,-1,-1,-1.218,205.41622404492233,Missed RPC 5,8.513300160016001
[-0.64006147 -0.18171169 -0.74642349],5,-1,-1,-1.23,205.46985002556514,Missed RPC 6,8.513300160016001
[ 0.08317174  0.87308619 -0.47828226],6,62,6,-0.006,200.0,Y,2.3350657565756574
[ 0.08317174  0.87308619 -0.47828226],6,62,7,-0.018,200.08369052034863,N,2.3350657565756574
[ 0.08317174  0.87308619 -0.47828226],6,63,8,-0.03,200.16738104069725,Y,2.3350657565756574
[ 0.08317174  0.87308619 -0.47828226],6,-1,-1,-0.618,204.26821653777955,Missed RPC 4,2.3350657565756574
[ 0.08317174  0.87308619 -0.47828226],6,-1,-1,-1.218,208.45274255521045,Missed RPC 5,2.3350657565756574
[ 0.08317174  0.87308619 -0.47828226],6,-1,-1,-1.23,208.53643307555907,Missed RPC 6,2.3350657565756574
[-0.43468937  0.23371721 -0.84940762],7,29,20,-0.006,200.0,Y,0.5655714371437144
