velocity,muon_index,detected_x_position,detected_y_position,detected_z_position,event_time,Outcome,Energy/GeV
[ 0.15754569  0.81695446 -0.55461176],0,14,21,-0.006,200.0,Y,8.093420152015202
[ 0.15754569  0.81695446 -0.55461176],0,14,21,-0.018,200.07217245379124,Y,8.093420152015202
[ 0.15754569  0.81695446 -0.55461176],0,14,22,-0.03,200.1443449075825,Y,8.093420152015202
[ 0.15754569  0.81695446 -0.55461176],0,-1,-1,-0.618,203.68079514335363,Missed RPC 4,8.093420152015202
[ 0.15754569  0.81695446 -0.55461176],0,-1,-1,-1.218,207.289417832916,Missed RPC 5,8.093420152015202
[ 0.15754569  0.81695446 -0.55461176],0,-1,-1,-1.23,207.36159028670724,Missed RPC 6,8.093420152015202
[ 0.65444955  0.35463005 -0.66713469],1,49,10,-0.006,200.0,Y,3.5947057805780576
[ 0.65444955  0.35463005 -0.66713469],1,49,10,-0.018,200.05999941528106,Y,3.5947057805780576
[ 0.65444955  0.35463005 -0.66713469],1,50,10,-0.03,200.1199988305621,Y,3.5947057805780576
[ 0.65444955  0.35463005 -0.66713469],1,-1,-1,-0.618,203.05997017933385,Missed RPC 4,3.5947057805780576
[ 0.65444955  0.35463005 -0.66713469],1,-1,-1,-1.218,206.05994094338664,Missed RPC 5,3.5947057805780576
[ 0.65444955  0.35463005 -0.66713469],1,-1,-1,-1.23,206.1199403586677,Missed RPC 6,3.5947057805780576
[ 0.05896182  0.7816609  -0.61852806],2,14,12,-0.006,200.0,Y,1.9451771777177718
[ 0.05896182  0.7816609  -0.61852806],2,15,13,-0.018,200.06471443057475,Y,1.9451771777177718
[ 0.05896182  0.7816609  -0.61852806],2,15,13,-0.03,200.12942886114953,Y,1.9451771777177718
[ 0.05896182  0.7816609  -0.61852806],2,-1,-1,-0.618,203.30043595931278,Missed RPC 4,1.9451771777177718
[ 0.05896182  0.7816609  -0.61852806],2,-1,-1,-1.218,206.5361574880508,Missed RPC 5,1.9451771777177718
[ 0.05896182  0.7816609  -0.61852806],2,-1,-1,-1.23,206.60087191862556,Missed RPC 6,1.9451771777177718
[-0.2682821  -0.44105655 -0.75840909],3,43,15,-0.006,200.0,Y,0.26565714571457144
[-0.2682821  -0.44105655 -0.75840909],3,43,15,-0.018,200.0527784967352,Y,0.26565714571457144
[-0.2682821  -0.44105655 -0.75840909],3,43,14,-0.03,200.10555699347034,Y,0.26565714571457144
[-0.2682821  -0.44105655 -0.75840909],3,36,3,-0.618,202.69170333349385,Y,0.26565714571457144
[-0.2682821  -0.44105655 -0.75840909],3,-1,-1,-1.218,205.3306281702525,Missed RPC 5,0.26565714571457144
[-0.2682821  -0.44105655 -0.75840909],3,-1,-1,-1.23,205.38340666698767,Missed RPC 6,0.26565714571457144
[-0.60158557 -0.50597224 -0.61811513],4,15,1,-0.006,200.0,Y,23.299074727472746
[-0.60158557 -0.50597224 -0.61811513],4,15,0,-0.018,200.06475766348106,Y,23.299074727472746
[-0.60158557 -0.50597224 -0.61811513],4,14,0,-0.03,200.12951532696212,Y,23.299074727472746
[-0.60158557 -0.50597224 -0.61811513],4,-1,-1,-0.618,203.30264083753423,Missed RPC 4,23.299074727472746
[-0.60158557 -0.50597224 -0.61811513],4,-1,-1,-1.218,206.54052401158737,Missed RPC 5,23.299074727472746
[-0.60158557 -0.50597224 -0.61811513],4,-1,-1,-1.23,206.60528167506843,Missed RPC 6,23.299074727472746
[ 0.089295   -0.24626211 -0.95732238],5,8,19,-0.006,200.0,Y,0.8654857285728573
[ 0.089295   -0.24626211 -0.95732238],5,8,19,-0.018,200.04181213381196,Y,0.8654857285728573
[ 0.089295   -0.24626211 -0.95732238],5,8,19,-0.03,200.08362426762392,Y,0.8654857285728573
[ 0.089295   -0.24626211 -0.95732238],5,10,14,-0.618,202.13241882441005,N,0.8654857285728573
[ 0.089295   -0.24626211 -0.95732238],5,12,9,-1.218,204.22302551500815,Y,0.8654857285728573
[ 0.089295   -0.24626211 -0.95732238],5,12,8,-1.23,204.2648376488201,Y,0.8654857285728573
[-0.34157322  0.37393078 -0.86159849],6,20,20,-0.006,200.0,Y,3.114842914291429
[-0.34157322  0.37393078 -0.86159849],6,20,20,-0.018,200.04645747608643,Y,3.114842914291429
[-0.34157322  0.37393078 -0.86159849],6,19,20,-0.03,200.09291495217283,Y,3.114842914291429
[-0.34157322  0.37393078 -0.86159849],6,11,29,-0.618,202.3693312804074,N,3.114842914291429
[-0.34157322  0.37393078 -0.86159849],6,-1,-1,-1.218,204.69220508472839,Missed RPC 5,3.114842914291429
[-0.34157322  0.37393078 -0.86159849],6,-1,-1,-1.23,204.73866256081482,Missed RPC 6,3.114842914291429
[-0.20794963  0.11377363 -0.95918679],7,5,31,-0.006,200.0,Y,0.6855371537153716
[-0.20794963  0.11377363 -0.95918679],7,-1,-1,-0.018,200.04173086193444,Missed RPC 2,0.6855371537153716
[-0.20794963  0.11377363 -0.95918679],7,-1,-1,-0.03,200.08346172386885,Missed RPC 3,0.6855371537153716
[-0.20794963  0.11377363 -0.95918679],7,-1,-1,-0.618,202.12827395865602,Missed RPC 4,0.6855371537153716
[-0.20794963  0.11377363 -0.95918679],7,-1,-1,-1.218,204.2148170553776,Missed RPC 5,0.6855371537153716
[-0.20794963  0.11377363 -0.95918679],7,-1,-1,-1.23,204.25654791731202,Missed RPC 6,0.6855371537153716
[ 0.20656666 -0.56398467 -0.79486536],8,58,4,-0.006,200.0,Y,1.2253828782878287
[ 0.20656666 -0.56398467 -0.79486536],8,58,4,-0.018,200.0503578262104,Y,1.2253828782878287
[ 0.20656666 -0.56398467 -0.79486536],8,58,4,-0.03,200.10071565242077,Y,1.2253828782878287
[ 0.20656666 -0.56398467 -0.79486536],8,-1,-1,-0.618,202.56824913672983,Missed RPC 4,1.2253828782878287
[ 0.20656666 -0.56398467 -0.79486536],8,-1,-1,-1.218,205.08614044724928,Missed RPC 5,1.2253828782878287
[ 0.20656666 -0.56398467 -0.79486536],8,-1,-1,-1.23,205.13649827345967,Missed RPC 6,1.2253828782878287
[-0.19085908  0.45002636 -0.86576225],9,61,28,-0.006,200.0,Y,0.9854514451445144
[-0.19085908  0.45002636 -0.86576225],9,61,28,-0.018,200.04623404565254,Y,0.9854514451445144
[-0.19085908  0.45002636 -0.86576225],9,61,28,-0.03,200.09246809130508,Y,0.9854514451445144
[-0.19085908  0.45002636 -0.86576225],9,-1,-1,-0.618,202.35793632827932,Missed RPC 4,0.9854514451445144
[-0.19085908  0.45002636 -0.86576225],9,-1,-1,-1.218,204.66963861090608,Missed RPC 5,0.9854514451445144
[-0.19085908  0.45002636 -0.86576225],9,-1,-1,-1.23,204.71587265655862,Missed RPC 6,0.9854514451445144
[ 0.18181493  0.88979441 -0.41042285],10,27,6,-0.006,200.0,Y,1.2853657365736573
[ 0.18181493  0.88979441 -0.41042285],10,27,7,-0.018,200.09752793131526,Y,1.2853657365736573
[ 0.18181493  0.88979441 -0.41042285],10,28,8,-0.03,200.19505586263054,Y,1.2853657365736573
[ 0.18181493  0.88979441 -0.41042285],10,-1,-1,-0.618,204.97392449707863,Missed RPC 4,1.2853657365736573
[ 0.18181493  0.88979441 -0.41042285],10,-1,-1,-1.218,209.850321062842,Missed RPC 5,1.2853657365736573
[ 0.18181493  0.88979441 -0.41042285],10,-1,-1,-1.23,209.94784899415728,Missed RPC 6,1.2853657365736573
[-0.95805516  0.13009232 -0.19801024],11,19,18,-0.006,200.0,Y,0.6555457245724573
[-0.95805516  0.13009232 -0.19801024],11,17,18,-0.018,200.20214960008593,Y,0.6555457245724573
[-0.95805516  0.13009232 -0.19801024],11,15,19,-0.03,200.40429920017186,Y,0.6555457245724573
[-0.95805516  0.13009232 -0.19801024],11,-1,-1,-0.618,210.30962960438274,Missed RPC 4,0.6555457245724573
[-0.95805516  0.13009232 -0.19801024],11,-1,-1,-1.218,220.41710960867954,Missed RPC 5,0.6555457245724573
[-0.95805516  0.13009232 -0.19801024],11,-1,-1,-1.23,220.61925920876547,Missed RPC 6,0.6555457245724573
[ 0.5963815  -0.49922838 -0.6244171 ],12,60,27,-0.006,200.0,Y,1.465314311431143
